Wavelength data table
Sample Name	800.00nm(Abs)	750.00nm(Abs)	700.00nm(Abs)	650.00nm(Abs)	600.00nm(Abs)	550.00nm(Abs)	500.00nm(Abs)	450.00nm(Abs)	400.00nm(Abs)	350.00nm(Abs)	300.00nm(Abs)	250.00nm(Abs)	
'8	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	

Sample:	'8
File name:	»ùÏß.UDS
Run Date:	'15:51:35, 03/13/2021
Operator:	Dell
Comment:	'

Instrument
Model:	UH4150 Spectrophotometer(Direct Light Detector)
Serial Number:	'
ROM Version:	1J14150 04

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Start Wavelength:	800.00 nm
End Wavelength:	300.00 nm
Scan Speed:	1200 nm/min
Sampling Interval:	1.00 nm
Delay:	0 s
Cycle Time:	0.0 min
Replicates:	1
Auto Zero before each run:	Off
Slit Width:	2.00 nm
PMT Voltage:	Auto1
Lamp Change Mode:	Auto
Lamp Change Wavelength:	340.00 nm
Baseline Correction:	User 3(¼×´¼)
High Resolution:	Off
D2 Lamp:	On
WI Lamp:	On
R/S Reverse:	Off
Attenuation:	'None
--- NIR ---
Scan Speed:	750 nm/min
Slit:	Auto change
PbS Gain:	1
Detector change correct:	OFF
Detector change Wavelength:	850.0 nm
Light control:	Fixed
--------------
Path Correct:	Off
Path Length:	10.0 mm

Processing Performed
Savitsky-Golay Smoothed
Smoothing Order:	3
Number of Points:	7
Number of Times:	1

Data Points
nm	Abs
800.00	0.000
799.00	0.000
798.00	0.001
797.00	0.001
796.00	0.001
795.00	0.001
794.00	0.000
793.00	0.000
792.00	-0.001
791.00	-0.001
790.00	-0.001
789.00	0.000
788.00	0.000
787.00	0.000
786.00	0.000
785.00	-0.001
784.00	-0.001
783.00	-0.001
782.00	0.000
781.00	0.000
780.00	0.001
779.00	0.001
778.00	0.000
777.00	0.000
776.00	0.000
775.00	0.000
774.00	0.000
773.00	0.000
772.00	0.000
771.00	0.001
770.00	0.000
769.00	0.000
768.00	0.000
767.00	0.000
766.00	0.000
765.00	0.000
764.00	0.000
763.00	0.000
762.00	-0.001
761.00	-0.001
760.00	-0.001
759.00	-0.001
758.00	-0.001
757.00	-0.001
756.00	0.000
755.00	0.000
754.00	0.000
753.00	0.000
752.00	0.001
751.00	0.001
776.00	0.001
775.00	0.001
774.00	0.001
773.00	0.001
772.00	0.001
771.00	0.001
770.00	0.001
769.00	0.001
768.00	0.001
767.00	0.000
766.00	0.000
765.00	0.000
764.00	0.000
763.00	0.000
762.00	0.000
761.00	0.000
760.00	0.000
759.00	0.000
758.00	0.000
757.00	0.000
756.00	0.000
750.00	0.001
749.00	0.001
748.00	0.001
747.00	0.000
740.00	0.000
739.00	-0.001
738.00	0.000
737.00	0.000
736.00	0.000
735.00	0.000
734.00	0.000
733.00	0.000
732.00	0.000
731.00	0.000
730.00	0.000
729.00	0.000
728.00	0.000
727.00	0.000
726.00	0.000
725.00	0.000
724.00	0.000
723.00	0.000
722.00	0.000
721.00	0.000
720.00	0.000
719.00	0.000
718.00	0.000
717.00	0.000
716.00	0.000
715.00	0.000
714.00	0.000
713.00	0.000
712.00	0.000
711.00	0.000
710.00	0.000
709.00	0.000
708.00	0.000
707.00	0.000
706.00	0.000
705.00	0.000
704.00	0.000
703.00	0.000
702.00	0.000
701.00	0.000
700.00	0.000
699.00	0.000
698.00	0.000
697.00	0.000
696.00	0.000
695.00	0.000
694.00	0.000
693.00	0.000
692.00	0.000
691.00	0.000
690.00	0.000
689.00	0.000
688.00	0.000
687.00	0.000
686.00	0.000
685.00	0.000
684.00	0.000
683.00	0.000
682.00	0.000
681.00	0.000
680.00	0.000
679.00	0.000
678.00	0.000
677.00	0.000
676.00	0.000
675.00	0.000
674.00	0.000
673.00	0.000
672.00	0.000
671.00	-0.001
670.00	-0.001
669.00	0.000
668.00	0.000
667.00	0.000
666.00	0.000
665.00	0.000
664.00	0.000
663.00	0.000
662.00	0.000
661.00	0.000
660.00	0.000
659.00	0.000
658.00	0.000
657.00	0.000
656.00	0.000
655.00	0.000
654.00	0.000
653.00	0.000
652.00	0.000
651.00	0.000
650.00	0.000
649.00	0.000
648.00	0.000
647.00	0.000
646.00	0.000
645.00	0.000
644.00	0.000
643.00	0.000
642.00	0.000
641.00	0.000
640.00	0.000
639.00	0.000
638.00	0.000
637.00	0.000
636.00	0.000
635.00	0.000
634.00	0.000
633.00	0.000
632.00	0.000
631.00	0.000
630.00	0.000
629.00	0.000
628.00	0.000
627.00	0.000
626.00	0.000
625.00	0.000
624.00	0.000
623.00	0.000
622.00	0.000
621.00	0.000
620.00	0.000
619.00	0.000
618.00	0.000
617.00	0.000
616.00	0.000
615.00	0.000
614.00	0.000
613.00	0.000
612.00	0.000
611.00	0.000
610.00	-0.001
609.00	-0.001
608.00	-0.001
607.00	-0.001
606.00	-0.001
605.00	-0.001
604.00	-0.001
603.00	0.000
602.00	0.000
601.00	0.000
600.00	0.000
599.00	0.000
598.00	0.000
597.00	0.000
596.00	0.000
595.00	0.000
594.00	0.000
593.00	0.000
592.00	0.000
591.00	0.000
590.00	0.000
589.00	0.000
588.00	0.000
587.00	0.000
586.00	0.000
585.00	0.000
584.00	0.000
583.00	-0.001
582.00	0.000
581.00	0.000
580.00	0.000
579.00	0.000
578.00	0.000
577.00	0.000
576.00	0.000
575.00	0.000
574.00	0.000
573.00	0.000
572.00	0.000
571.00	0.000
570.00	0.000
569.00	-0.001
568.00	-0.001
567.00	-0.001
566.00	0.000
565.00	0.000
